circuit_section_id,circuit_id,line_situation,voltage,circuit_section_name_normalized,circuit_name_normalized,candidate_labels,candidate_bases,match_status,appendix_indices,appendix_node_labels,appendix_base_labels,gsp_candidates,resolution_notes
142129120_144264546,142129120.0,UNDERGROUND,66000.0,NORTH TEES - HAVERTON GENERATION,NORTH TEES (HAVERTON GENERATION) - HAVERTON GENERATION,"[""NORTH TEES"", ""HAVERTON GENERATION""]","[""NORTH TEES"", ""HAVERTON GENERATION""]",matched,[1054],"[""HAVERTON GENERATION 66KV"", ""NORTH TEES 66KV""]","[""NORTH TEES"", ""HAVERTON GENERATION""]","[""Norton""]",Unique base pair match
142129169_173304182,142129169.0,UNDERGROUND,66000.0,TORONTO - 173304182 TEED,TORONTO (EASTGATE CEMENT 1) - EASTGATE CEMENT TEED,"[""TORONTO"", ""EASTGATE CEMENT""]","[""TORONTO"", ""EASTGATE CEMENT""]",matched,[533],"[""TORONTO 66KV"", ""EASTGATE CEMENT TRANSFORMER 1 66KV""]","[""TORONTO"", ""EASTGATE CEMENT""]","[""Spennymoor GSP""]",Unique base pair match
142129179_161028775,142129179.1,OVERHEAD,33000.0,LEEMING RAF SW - 161028775 TEED,LEEMING RAF SW (THIRSK TEED) - THIRSK TEED,"[""LEEMING RAF SW"", ""THIRSK""]","[""LEEMING RAF SW"", ""THIRSK""]",unmatched,[],[],"[""LEEMING RAF SW"", ""THIRSK""]","[""Norton"", ""Saltholme"", ""Spadeadam 33kV""]",No base-pair match; review suggested GSPs
142129419_147906648,142129419.0,UNDERGROUND,66000.0,NORTH TEES - 147906648 TEED,NORTH TEES (SEAL SANDS 1) - SEAL SANDS TEED,"[""NORTH TEES"", ""SEAL SANDS""]","[""NORTH TEES"", ""SEAL SANDS""]",unmatched,[],[],"[""NORTH TEES"", ""SEAL SANDS""]","[""Bradford West"", ""Creyke Beck"", ""Ferrybridge B"", ""Keadby"", ""Lackenby"", ""Neepsend"", ""Norton"", ""Osbaldwick"", ""Saltholme"", ""Skelton Grange"", ""Stella North"", ""West Boldon""]",No base-pair match; review suggested GSPs
142129453_147907898,142129453.0,UNDERGROUND,33000.0,NESSFIELD - 147907898 TEED,NESSFIELD (DARLEY NESSFIELD SW) - DARLEY NESSFIELD SW TEED,"[""NESSFIELD"", ""DARLEY NESSFIELD SW""]","[""NESSFIELD"", ""DARLEY NESSFIELD SW""]",matched,[1026],"[""WORMALD-DARLEY-NESSFIELD TEE"", ""DARLEY TRANSFORMER 1 33KV""]","[""DARLEY NESSFIELD SW"", ""WORMALD DARLEY NESSFIELD TEE"", ""DARLEY"", ""NESSFIELD""]","[""Knaresborough""]",Unique base pair match
142129665_147907895,142129665.0,OVERHEAD,132000.0,KNARESBOROUGH - 147907895 TEED,KNARESBOROUGH (WORMALD GREEN 103) - WORMALD GREEN TEED,"[""KNARESBOROUGH"", ""WORMALD GREEN""]","[""KNARESBOROUGH"", ""WORMALD GREEN""]",matched,[1017],"[""KNARESBOROUGH 132KV"", ""WORMALD GREEN 132KV""]","[""KNARESBOROUGH"", ""WORMALD GREEN""]","[""Knaresborough""]",Unique base pair match
142129775_142104722,142129775.0,UNDERGROUND,66000.0,NORTH TEES - CLEVELAND INCINERATOR,NORTH TEES (CLEVELAND INCINERATOR) - CLEVELAND INCINERATOR,"[""NORTH TEES"", ""CLEVELAND INCINERATOR""]","[""NORTH TEES"", ""CLEVELAND INCINERATOR""]",matched,[1067],"[""NORTH TEES 66KV"", ""CLEVELAND INCINERATOR 66KV""]","[""NORTH TEES"", ""CLEVELAND INCINERATOR""]","[""Norton""]",Unique base pair match
142130158_142090011,142130158.0,UNDERGROUND,66000.0,NORTH TEES - BILLINGHAM MARSH HOUSE,NORTH TEES (BILLINGHAM MARSH HOUSE) - BILLINGHAM MARSH HOUSE,"[""NORTH TEES"", ""BILLINGHAM MARSH HOUSE""]","[""NORTH TEES"", ""BILLINGHAM MARSH HOUSE""]",matched,[1601],"[""NORTH TEES 66KV"", ""BILLINGHAM MARSH HOUSE TRANSFORMER 2 66KV""]","[""NORTH TEES"", ""BILLINGHAM MARSH HOUSE""]","[""Norton""]",Unique base pair match
147897605_147897606,177124601.0,OVERHEAD,66000.0,TEE TO 147897606,WEST BOLDON (WEST SOUTHWICK) - WEST SOUTHWICK TEED,"[""WEST BOLDON"", ""WEST SOUTHWICK""]","[""WEST BOLDON"", ""WEST SOUTHWICK""]",matched,[1197],"[""WEST BOLDON 66KV"", ""WEST SOUTHWICK 66KV""]","[""WEST SOUTHWICK"", ""WEST BOLDON""]","[""West Boldon""]",Unique base pair match
147897606_176274652,177124601.0,UNDERGROUND,66000.0,TEE TO WEST SOUTHWICK,WEST BOLDON (WEST SOUTHWICK) - WEST SOUTHWICK TEED,"[""WEST SOUTHWICK"", ""WEST BOLDON""]","[""WEST SOUTHWICK"", ""WEST BOLDON""]",matched,[1197],"[""WEST BOLDON 66KV"", ""WEST SOUTHWICK 66KV""]","[""WEST SOUTHWICK"", ""WEST BOLDON""]","[""West Boldon""]",Unique base pair match
147903761_180214221,180223020.1,OVERHEAD,33000.0,TEE TO SMUGGLERS RIGG SW,CHURNSIKE (SMUGGLERS RIGG SW ) - SMUGGLERS RIGG SW TEED,"[""SMUGGLERS RIGG SW"", ""CHURNSIKE""]","[""SMUGGLERS RIGG SW"", ""CHURNSIKE""]",matched,[1157],"[""CHURNSIKE"", ""BOLTS LAW SW""]","[""SMUGGLERS RIGG SW"", ""CHURNSIKE"", ""BOLTS LAW SW""]","[""Spadeadam 33kV""]",Unique base pair match
147903993_147903994,142110038.0,OVERHEAD,33000.0,TEE TO 147903994,WORMALD GREEN (ROECLIFFE INDUSTRIAL) - ROECLIFFE INDUSTRIAL TEED,"[""WORMALD GREEN"", ""ROECLIFFE INDUSTRIAL""]","[""WORMALD GREEN"", ""ROECLIFFE INDUSTRIAL""]",matched,[1022],"[""WORMALD GREEN 33KV"", ""ROECLIFFE INDUSTRIAL 33KV""]","[""WORMALD GREEN"", ""ROECLIFFE INDUSTRIAL""]","[""Knaresborough""]",Unique base pair match
