S/S Group,S/S or Busbar Name Node,Primary Voltage (kV),S/S or Busbar Name Node 2,Secondary Voltage (kV),Vector Group,Positive Sequence Impedance R (% on 100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Zero Sequence Reactance X (% on 100 MVA Base),Minimum Tap %,Maximum Tap %,Transformer Rating (MVA),Reverse Power Capability (MVA),Method of Earthing,Licence Area,Transformer Substation,"Substation Class (Primary, BSP)",Geo Point
ELLAND,MELTHAM T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,98.5,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Meltham,Primary,
ELLAND,LINDLEY GT2,132.0,Not given for Yorkshire,33.0,Yd9,0.7,25.5,22.5,-20.0,10.0,90.0,90,Solid,Yorkshire,Lindley,BSP,
ELLAND,HORBURY T2,33.0,Not given for Yorkshire,11.5,Yy0,5.73,89.99,822.24,-17.15999984741211,5.42,24.0,24,Impedance,Yorkshire,Horbury,Primary,
ELLAND,HAZLEHEAD T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,73.5,500,-10.0,10.0,24.0,24,Impedance,Yorkshire,Hazlehead,Primary,
ELLAND,Halifax 132/33kV GT2,132.0,Not given for Yorkshire,33.0,Yd9,1.2,25.9,134,-20.0,10.0,90.0,90,Impedance,Yorkshire,Halifax 132/33kV,BSP,
ELLAND,GROVE STREET T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,102.2,550,-15.0,5.0,23.0,11.5,Impedance,Yorkshire,Grove Street,Primary,
ELLAND,ELLAND T2,33.0,Not given for Yorkshire,11.0,Yy0,6.0,68.3,68.3,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Elland 33/11kV,Primary,
ELLAND,ELLAND T1,33.0,Not given for Yorkshire,11.0,Yy0,6.0,67.0,67,-15.0,5.0,18.75,18.75,Solid,Yorkshire,Elland 33/11kV,Primary,
ELLAND,Brighouse 33/11kV T1,33.0,Not given for Yorkshire,11.0,Yy0,4.0,74.0,500,-10.0,10.0,12.0,12,Impedance,Yorkshire,Brighouse 33/11kV,Primary,
ELLAND,BAILIFF BRIDGE T2,33.0,Not given for Yorkshire,11.0,Yy0,4.0,72.5,550,-10.0,10.0,24.0,NOT KNOWN,Impedance,Yorkshire,Bailiff Bridge,Primary,
