GSP,S/S or Busbar Name Node 1,S/S or Busbar Name Node 2,Operating Voltage (kV),Positive Sequence Impedance R % on (100 MVA Base),Positive Sequence Impedance X (% on 100 MVA Base),Susceptance B (% on 100 MVA Base),Rating Information (MVA),Circuit Length (km),Licence Area
Skelton Grange,SKGB-STAL-TEE,SKELTON GRANGE B SGT2,132.0,0.623262048,1.391849995,0.306713998,114.54398400614498,6.58,Yorkshire
Skelton Grange,SKGB-STGA-TEE1,STAYGATE T2,132.0,0.88,1.952,0.445,114.54398400614498,8.716053711,Yorkshire
Skelton Grange,SKGB-STGA-TEE2,STAYGATE T1,132.0,0.893446028,1.981504083,0.451146007,114.54398400614498,8.846,Yorkshire
Skelton Grange,SELBY ROAD T1,LEEDS EAST T3,33.0,2.381,2.054,0.807,25.149377725900095,3.419234619,Yorkshire
Skelton Grange,SELBY ROAD T2,LEEDS EAST T4,33.0,2.697999954,2.392999887,0.91900003,25.149377725900095,2.831884766,Yorkshire
Skelton Grange,SKEL-STOU-WAKE-TEE,SKELTON GRANGE B SGT1,132.0,0.0597395,0.274100006,0.017798999,114.54398400614498,1.981699951,Yorkshire
Skelton Grange,SPRING MILL STREET T2,STAYGATE T2,33.0,0.856,2.098,0.0,25.435166109148962,2.199800049,Yorkshire
Skelton Grange,ST ANDREWS ROAD T2,DALTON T2,33.0,1.201954961,2.222879887,0.0,39.43879688834333,2.105,Yorkshire
Skelton Grange,STOURTON T2,LOW ROAD T2,33.0,4.208,2.182,0.591,19.433610060922803,2.5378691410000003,Yorkshire
Skelton Grange,SWINNOW MOOR T2,RODLEY T2,33.0,1.118,2.773,0.0,47.89813303250973,2.910199951,Yorkshire
Skelton Grange,WAKEFIELD NORTH T2,ALVERTHORPE ROAD T2,33.0,2.654,4.488,0.0,28.578838324886473,4.2670703130000005,Yorkshire
Skelton Grange,WAKEFIELD NORTH T2,KENR-MILP-WAKN-TEE,33.0,1.179,1.151,0.441,28.578838324886473,1.931951538,Yorkshire
Skelton Grange,WHITE LEE T1,HECKMONDWIKE T1,33.0,1.633,1.421,0.435,27.14989640864215,1.334715698,Yorkshire
Skelton Grange,WIBSEY T1,STAYGATE T1,33.0,2.996,2.635,0.594,21.719917126913717,2.35239917,Yorkshire
Skelton Grange,YEW GREEN ROAD T1,FOLLY HALL T1,33.0,1.332999945,1.110999942,0.442000002,26.292531258895558,0.9361852417000001,Yorkshire
Skelton Grange,YORK ROAD T1,LEEDS EAST T3,33.0,0.848,0.964,0.107,21.719917126913717,0.5959370117,Yorkshire
Skelton Grange,YORK ROAD T2,LEEDS EAST T4,33.0,0.844,0.961,0.107,21.719917126913717,0.840678833,Yorkshire
Creyke Beck,BELL-HAYT-TEE,HAYTON T1,66.0,0.5839806199073792,1.581178903579712,0.0,51.89917039799384,1.8315408935546875,Yorkshire
Creyke Beck,BELTHORPE LANE T1,BELL-HAYT-TEE,66.0,3.440999984741211,8.196000099182129,0.125,62.873444314750245,9.5019443359375,Yorkshire
Creyke Beck,BEVE-ENDL-FIRA-TEE,DUNSWELL LANE LSI,33.0,1.1291749477386475,2.345785140991211,0.0,28.635996001536245,0.905,Yorkshire
Creyke Beck,BEVE-HULW-NEWP-TEE,HULL WEST T1,33.0,6.076000213623047,14.472999572753906,0.014000000432133675,28.578838324886473,3.907078369140625,Yorkshire
Creyke Beck,BEVERLEY LANE,SOBER HILL,33.0,1.880126953125,3.6645660400390625,0.0,28.635996001536245,1.710300048828125,Yorkshire
Creyke Beck,BEVERLEY T2,SOBER HILL,33.0,18.22875213623047,38.763671875,0.0,28.635996001536245,12.9966005859375,Yorkshire
Creyke Beck,BRETT STREET T1,DRIF-FRAI-BRET TEE,66.0,1.516,3.774,0.4914,67,5.594,Yorkshire
Creyke Beck,COUNTY ROAD NORTH T1,NATIONAL AVENUE T1,33.0,0.8349999785423279,0.7329999804496765,0.22100000083446503,27.14989640864215,0.9152885131835937,Yorkshire
Creyke Beck,CREB-DRIF-BRAN-TEE1,CREYKE BECK SGT4,132.0,0.5560910105705261,1.2399520874023438,0.27942898869514465,114.54398400614498,5.6597998046875,Yorkshire
Creyke Beck,CREB-DRIF-BRAN-TEE1,DRIFFIELD GTA,132.0,2.01151609420776,4.461184024810791,1.0157159566879272,114.54398400614498,19.916,Yorkshire
Creyke Beck,CREB-DRIF-BRAN-TEE2,CREYKE BECK SGT2,132.0,0.553378999233245,1.227295994758606,0.27942898869514465,114.54398400614498,5.479,Yorkshire
Creyke Beck,CREB-DRIF-BRAN-TEE2,DRIFFIELD GTB,132.0,2.01070809364318,4.459392070770264,1.0153080224990845,114.54398400614498,19.908,Yorkshire
Creyke Beck,CREYKE BECK SGT2,HULL WEST T2,132.0,1.0943710803985596,2.446228504180908,0.5486630797386169,130.54813346808143,11.27830078125,Yorkshire
Creyke Beck,DRIFFIELD GTB,BRETT STREET T2,66.0,5.803,15.375,0.0,60.01556048226159,19.028,Yorkshire
