transformer_index,transformer_group,candidate_name,candidate_key,transformer_substation,primary_voltage_kv,secondary_voltage_kv,rating_mva,site_asset_number,site_name
283,SKELTON GRANGE,Dudley Hill,DUDLEY HILL,Dudley Hill,33.0,11.5,30.0,SITE-00266191,DUDLEY HILL 100
284,SKELTON GRANGE,Carlton Hill,CARLTON HILL,Carlton Hill,33.0,11.0,18.75,SITE-00266637,CARLTON HILL 2465
285,SKELTON GRANGE,Burnleyville,BURNLEYVILLE,Burnleyville,33.0,11.0,23.0,SITE-00266698,BURNLEYVILLE 4
286,SKELTON GRANGE,Burmantofts,BURMANTOFTS,Burmantofts,33.0,11.0,18.75,SITE-00267103,BURMANTOFTS 2267
287,SKELTON GRANGE,Armouries Drive,ARMOURIES DRIVE,Armouries Drive,33.0,11.5,30.0,SITE-00266543,ARMOURIES DRIVE 47105
288,SKELTON GRANGE,Armouries Drive,ARMOURIES DRIVE,Armouries Drive,33.0,11.5,30.0,SITE-00266543,ARMOURIES DRIVE 47105
289,SPENNYMOOR,Toronto T2,T2 TORONTO,Toronto,66.0,20.0,40.0,SITE-00229530,TORONTO
290,SPENNYMOOR,Toronto T1,T1 TORONTO,Toronto,66.0,20.0,40.0,SITE-00229530,TORONTO
291,SPENNYMOOR,Toronto GT1,GT1 TORONTO,Toronto,132.0,66.0,90.0,SITE-00229530,TORONTO
292,SPENNYMOOR,Spennymoor GT2,GT2 SPENNYMOOR,Spennymoor,132.0,66.0,75.0,SITE-00229452,SPENNYMOOR
293,SPENNYMOOR,Skerneside T2,SKERNESIDE T2,Skerneside,66.0,22.0,40.0,SITE-00229155,SKERNESIDE
294,SPENNYMOOR,Skerneside T1,SKERNESIDE T1,Skerneside,66.0,22.0,40.0,SITE-00229155,SKERNESIDE
295,SPENNYMOOR,Potter House T5,HOUSE POTTER T5,Potter House,66.0,11.5,30.0,SITE-00230143,POTTER HOUSE
296,SPENNYMOOR,Potter House T4,HOUSE POTTER T4,Potter House,66.0,11.5,30.0,SITE-00230143,POTTER HOUSE
297,SPENNYMOOR,Potter House T3,HOUSE POTTER T3,Potter House,66.0,22.0,25.0,SITE-00230143,POTTER HOUSE
298,SPENNYMOOR,High Flatts T1,FLATTS HIGH T1,High Flatts,66.0,11.5,18.75,SITE-00232587,HIGH FLATTS
299,SPENNYMOOR,Harmire Bridge T2,BRIDGE HARMIRE T2,Harmire Bridge,66.0,20.0,40.0,SITE-00229539,HARMIRE BRIDGE
300,SPENNYMOOR,Fylands Bridge T1,BRIDGE FYLANDS T1,Fylands Bridge,66.0,11.5,18.75,SITE-00229538,FYLANDS BRIDGE
301,SPENNYMOOR,Eastgate Cement T2,CEMENT EASTGATE T2,Eastgate Cement,66.0,22.0,25.0,SITE-00230139,EASTGATE CEMENT
302,SPENNYMOOR,Eastgate Cement T1,CEMENT EASTGATE T1,Eastgate Cement,66.0,22.0,25.0,SITE-00230139,EASTGATE CEMENT
303,SPENNYMOOR,Durham East T2,DURHAM EAST T2,Durham East,66.0,11.5,18.75,SITE-00230138,DURHAM EAST
304,STELLA,University T2,T2 UNIVERSITY,University,33.0,11.5,32.0,SITE-00229088,UNIVERSITY
305,STELLA,University T1,T1 UNIVERSITY,University,33.0,11.5,32.0,SITE-00229088,UNIVERSITY
306,STELLA,Team Valley T2,T2 TEAM VALLEY,Team Valley,66.0,22.0,42.0,SITE-00233203,TEAM VALLEY
307,STELLA,Tanfield T2,T2 TANFIELD,Tanfield,66.0,11.5,32.0,SITE-00232592,TANFIELD
308,STELLA,Tanfield T1,T1 TANFIELD,Tanfield,66.0,11.5,32.0,SITE-00232592,TANFIELD
309,STELLA,Newcastle Airport T2,AIRPORT NEWCASTLE T2,Newcastle Airport,33.0,11.5,24.0,SITE-00237905,NEWCASTLE AIRPORT
310,STELLA,Kenton T2,KENTON T2,Kenton,33.0,11.5,24.0,SITE-00229084,KENTON
311,STELLA,Hexham T1,HEXHAM T1,Hexham,66.0,22.0,37.5,SITE-00233927,HEXHAM
312,STELLA,Dunston T3,DUNSTON T3,Dunston,66.0,22.0,30.0,SITE-00232660,DUNSTON
313,STELLA,Dunston GT2,DUNSTON GT2,Dunston,132.0,66.0,150.0,SITE-00232660,DUNSTON
314,STELLA,Consett T2,CONSETT T2,Consett,66.0,20.0,40.0,SITE-00245346,CONSETT
315,STELLA,Consett T1,CONSETT T1,Consett,66.0,20.0,40.0,SITE-00245346,CONSETT
316,STELLA,Close T2,CLOSE T2,Close,66.0,11.5,32.0,SITE-00233800,CLOSE
317,STELLA,Blucher T2,BLUCHER T2,Blucher,33.0,11.5,24.0,SITE-00229077,BLUCHER
318,STELLA,Birtley Grove T2 T4,BIRTLEY GROVE T2 T4,Birtley Grove 66/11kV,66.0,11.5,32.0,SITE-00233197,BIRTLEY GROVE
319,STELLA,Birtley Grove T2 T4,BIRTLEY GROVE T2 T4,Birtley Grove 66/20kV,66.0,22.0,30.0,SITE-00233197,BIRTLEY GROVE
320,STELLA,Birtley Grove T1 T3,BIRTLEY GROVE T1 T3,Birtley Grove 66/11kV,66.0,11.5,32.0,SITE-00233197,BIRTLEY GROVE
321,STELLA,Birtley Grove T1 T3,BIRTLEY GROVE T1 T3,Birtley Grove 66/20kV,66.0,22.0,30.0,SITE-00233197,BIRTLEY GROVE
322,STELLA,Annfield T4,ANNFIELD T4,Annfield,66.0,22.0,25.0,SITE-00232584,ANNFIELD
